arm,LR,RF,XGB,MLP,STCRAAN
F,0.890707913942132,0.897685350151899,0.906368670074797,0.890186437992462,0.903108487026088
F+EO,0.889338276998282,0.893381985092516,0.901842215974843,0.900386146919768,0.900768246316063
F+SP,0.894327453556953,0.898061598783189,0.907297004778043,0.894946904564435,0.906249216942813
F+SP+EO,0.893355228903769,0.894331625404257,0.905548109114022,0.904424431421883,0.902866568996342
EO,0.497840537477776,0.490296200207167,0.496884847464808,0.479721774512823,0.500257066377933
SP,0.656563316834249,0.658355055911669,0.656959105147117,0.65669215752108,0.656838422877903
EO+SPA,0.646816409496949,0.645907105208144,0.648679756598969,0.648185107776838,0.647708637009562
